COUNTY,STATE,POPULATION,DATE
Conecuh County, Alabama,12469,2017-07-01
Coosa County, Alabama,10754,2017-07-01
Covington County, Alabama,37092,2017-07-01
Crenshaw County, Alabama,13871,2017-07-01
Cullman County, Alabama,82755,2017-07-01
Dale County, Alabama,49226,2017-07-01
Dallas County, Alabama,39215,2017-07-01
Autauga County, Alabama,55504,2017-07-01
Baldwin County, Alabama,212628,2017-07-01
Barbour County, Alabama,25270,2017-07-01
Bibb County, Alabama,22668,2017-07-01
Blount County, Alabama,58013,2017-07-01
Bullock County, Alabama,10309,2017-07-01
Butler County, Alabama,19825,2017-07-01
Calhoun County, Alabama,114728,2017-07-01
Chambers County, Alabama,33713,2017-07-01
Cherokee County, Alabama,25857,2017-07-01
Chilton County, Alabama,44067,2017-07-01
Choctaw County, Alabama,12945,2017-07-01
Clarke County, Alabama,24083,2017-07-01
Clay County, Alabama,13367,2017-07-01
Cleburne County, Alabama,14900,2017-07-01
Coffee County, Alabama,51874,2017-07-01
Colbert County, Alabama,54500,2017-07-01
Tallapoosa County, Alabama,40681,2017-07-01
Tuscaloosa County, Alabama,207811,2017-07-01
Walker County, Alabama,64058,2017-07-01
Washington County, Alabama,16531,2017-07-01
Wilcox County, Alabama,10719,2017-07-01
Winston County, Alabama,23722,2017-07-01
DeKalb County, Alabama,71617,2017-07-01
Elmore County, Alabama,81677,2017-07-01
Escambia County, Alabama,37447,2017-07-01
Etowah County, Alabama,102755,2017-07-01
Fayette County, Alabama,16468,2017-07-01
Franklin County, Alabama,31495,2017-07-01
Geneva County, Alabama,26421,2017-07-01
Greene County, Alabama,8330,2017-07-01
Hale County, Alabama,14812,2017-07-01
Henry County, Alabama,17147,2017-07-01
Houston County, Alabama,104346,2017-07-01
Jackson County, Alabama,51909,2017-07-01
Jefferson County, Alabama,659197,2017-07-01
Lamar County, Alabama,13946,2017-07-01
Lauderdale County, Alabama,92538,2017-07-01
Lawrence County, Alabama,33049,2017-07-01
Lee County, Alabama,161604,2017-07-01
Limestone County, Alabama,94402,2017-07-01
Lowndes County, Alabama,10076,2017-07-01
Macon County, Alabama,18755,2017-07-01
Madison County, Alabama,361046,2017-07-01
Marengo County, Alabama,19375,2017-07-01
Marion County, Alabama,29833,2017-07-01
Marshall County, Alabama,95548,2017-07-01
Mobile County, Alabama,413955,2017-07-01
Monroe County, Alabama,21327,2017-07-01
Montgomery County, Alabama,226646,2017-07-01
Morgan County, Alabama,118818,2017-07-01
Perry County, Alabama,9339,2017-07-01
Pickens County, Alabama,20176,2017-07-01
Pike County, Alabama,33267,2017-07-01
Randolph County, Alabama,22670,2017-07-01
Russell County, Alabama,57045,2017-07-01
St. Clair County, Alabama,88199,2017-07-01
Shelby County, Alabama,213605,2017-07-01
Sumter County, Alabama,12687,2017-07-01
Talladega County, Alabama,80065,2017-07-01
Yavapai County, Arizona,228168,2017-07-01
Yuma County, Arizona,207534,2017-07-01
Arkansas County, Arkansas,17967,2017-07-01
Ashley County, Arkansas,20283,2017-07-01
Baxter County, Arkansas,41355,2017-07-01
Benton County, Arkansas,266300,2017-07-01
Aleutians East Borough, Alaska,3370,2017-07-01
Aleutians West Census Area, Alaska,5763,2017-07-01
Anchorage Municipality, Alaska,294356,2017-07-01
Bethel Census Area, Alaska,18076,2017-07-01
Bristol Bay Borough, Alaska,867,2017-07-01
Denali Borough, Alaska,2074,2017-07-01
Dillingham Census Area, Alaska,4932,2017-07-01
Fairbanks North Star Borough, Alaska,99703,2017-07-01
Haines Borough, Alaska,2526,2017-07-01
Hoonah-Angoon Census Area, Alaska,2145,2017-07-01
Juneau City and Borough, Alaska,32094,2017-07-01
Kenai Peninsula Borough, Alaska,58617,2017-07-01
Ketchikan Gateway Borough, Alaska,13856,2017-07-01
Kodiak Island Borough, Alaska,13448,2017-07-01
Kusilvak Census Area, Alaska,8202,2017-07-01
Lake and Peninsula Borough, Alaska,1620,2017-07-01
Matanuska-Susitna Borough, Alaska,106532,2017-07-01
Nome Census Area, Alaska,9921,2017-07-01
North Slope Borough, Alaska,9782,2017-07-01
Northwest Arctic Borough, Alaska,7684,2017-07-01
Petersburg Borough, Alaska,3281,2017-07-01
Prince of Wales-Hyder Census Area, Alaska,6443,2017-07-01
Sitka City and Borough, Alaska,8689,2017-07-01
Skagway Municipality, Alaska,1157,2017-07-01
Southeast Fairbanks Census Area, Alaska,6888,2017-07-01
Valdez-Cordova Census Area, Alaska,9278,2017-07-01
Wrangell City and Borough, Alaska,2521,2017-07-01
Yakutat City and Borough, Alaska,605,2017-07-01
Yukon-Koyukuk Census Area, Alaska,5365,2017-07-01
